units - 2007 US$
BC

1997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,37130318.982144818,688151234.45303571,1881032874.3033648,4165977839.2662678,33059735117.999813,395844431.50225735,51843807.956395,72838026941.433945,97582570954.988464,522152919.96337652,4185312269.9712896,8596650547.6135254,16461379612.422754,13701377897.555855,254167186768.41248
BORF,4298217545.7211943,0.0,0.0,0.0,0.0,6547716.8946965812,0.0,4421.4112320498043,56522.656168911119,15371622546.355923,3481622556.0049262,0.0,0.0,0.0,23158071309.04414
TEMF,1222949692.4104366,926171373.0227474,64975741.07794147,0.0,1674717479.2664862,308220317.74621475,3526709.675889316,0.0,131160715.62618586,1023964931.4871981,2650987186.6027608,1248352796.6950884,0.0,3870654083.7593241,13125681027.370274
DEFO,0.0,0.0,1355775361.4856181,1928213075.2539039,26146982420.107933,0.0,0.0,3906778104.5306625,1955770733.1456647,0.0,520562244.68015212,3793597489.8007641,104836606956.53299,262652532.96884853,144706938918.50653
PEAT,18071241.11517363,0.0,0.0,0.0,0.0,3569.4058370518924,0.0,0.0,0.0,14173493.673911663,276234.55096497777,0.0,8098374742.3290892,0.0,8130899281.0749769
AGRI,348129655.37556279,853674834.14805961,1410719476.0289562,776877142.32862282,4074172698.389359,1307472967.4626362,193109407.74172008,11633392801.03936,6095923818.4191294,6691262494.467391,10285087393.524097,3067882367.5858068,6980868773.250658,610523438.96833336,54329097268.729691
total,348129655.37556279,853674834.14805961,1410719476.0289562,776877142.32862282,4074172698.389359,1307472967.4626362,193109407.74172008,11633392801.03936,6095923818.4191294,6691262494.467391,10285087393.524097,3067882367.5858068,6980868773.250658,610523438.96833336,497617874573.13806

1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,118916524.34267186,820931742.76256371,10633487832.272432,5481936822.3078766,34252614499.280617,549631530.31179392,178753855.87924415,89934710078.396484,114307494122.86703,536162701.98732448,3685767328.5874767,16143526745.525791,4304995833.1549463,13078457925.883768,294027387543.56006
BORF,17298108369.880867,0.0,0.0,0.0,0.0,10080221.762237718,0.0,2453.1919846918945,63705.19672425765,55343163920.784622,2739984681.7184272,0.0,0.0,0.0,75391403352.534866
TEMF,1357263837.5190134,1155306222.7262764,610298460.41151679,0.0,1430717608.7277358,259685100.57050374,12702455.009074036,0.0,272513677.8285926,820892692.2341274,2952531458.9275928,1777834076.0668836,0.0,2773237120.5397806,13422982710.561096
DEFO,0.0,0.0,20827218986.727016,3168490964.0812802,47106079549.99334,0.0,0.0,13981676572.523798,2034995134.7642996,0.0,726521530.06645334,13628924744.558323,17275922954.834919,368158172.38267618,119117988609.9321
PEAT,78746857.278085381,0.0,0.0,0.0,0.0,63053.82427287296,0.0,0.0,0.0,49272376.930753663,184019.84446938423,0.0,137735239.06339264,0.0,266001546.94097394
AGRI,1198728924.4752166,979415355.20530093,6344953307.3369045,928773810.85041976,4262427161.1417441,1381680678.0638392,502424922.84324759,12327826290.01355,7397301122.6835356,10815586342.591488,9176752913.7059135,3931694889.9566617,1415412952.6494005,655778073.16509914,61318756744.682327
total,1198728924.4752166,979415355.20530093,6344953307.3369045,928773810.85041976,4262427161.1417441,1381680678.0638392,502424922.84324759,12327826290.01355,7397301122.6835356,10815586342.591488,9176752913.7059135,3931694889.9566617,1415412952.6494005,655778073.16509914,563544520508.21143

1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,73572024.906467974,1009129645.8685602,2195093737.3944111,3511975353.8960466,33283700437.7071,278343227.17500424,104467216.66446447,76355240827.054001,97732994308.688614,331503428.34172612,2198921009.2319431,11806077376.711617,2261571230.0983763,28439049876.029362,259581639699.7677
BORF,7117827816.4701328,0.0,0.0,0.0,0.0,2126026.2337562884,0.0,2242.0147813822214,58571.78562540916,17711439268.697147,1218041310.4446838,0.0,0.0,0.0,26049495235.646126
TEMF,623210485.38224542,2436613773.1785688,274099643.96906728,0.0,1983864743.6770113,213309748.16931748,6270305.4718756499,0.0,121103444.70831919,986769900.98333478,2445331604.3792315,3460954377.9911246,0.0,2599017359.4218178,15150545387.331913
DEFO,0.0,0.0,1317964333.7749522,1053529351.7589142,39516548726.058403,0.0,0.0,6868854194.9446611,1424769655.0228317,0.0,492641789.42081296,9369432266.9378643,11611367081.777695,680046184.73921919,72335153584.435349
