units - 2007 US$
OC

1997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,29513679.889728159,546988968.48880839,1495171647.7427747,3311399760.0387115,26278108359.992115,314643833.14427686,41208954.790332571,57896570011.311493,77565193562.774155,415042326.31290126,3326768081.2056832,6833197005.8028717,13084613292.577614,10890779483.569176,202029198967.64062
BORF,9263707363.706955,0.0,0.0,0.0,0.0,14111924.053906258,0.0,9529.2181405962183,121820.09039381372,33129589640.547977,7503745351.0055504,0.0,0.0,0.0,49911285628.622925
TEMF,2635754746.0592756,1996124993.6471915,140038556.79740328,0.0,3609424280.6823244,664289853.755162,7600918.5145900659,0.0,282683281.96288633,2206894029.9000068,5713523075.3323441,2690504529.5410357,0.0,8342202240.7768927,28289040506.969112
DEFO,0.0,0.0,1378479772.5886347,1960503936.6993961,26584853838.83173,0.0,0.0,3972203239.8807764,1988523069.4240017,0.0,529279872.34232503,3857126806.6527643,106592257464.05817,267051042.05038327,147130279042.52817
PEAT,305294934.41047966,0.0,0.0,0.0,0.0,60301.42104272615,0.0,0.0,0.0,239446526.56632289,4666697.443449907,0.0,136813672767.09109,0.0,137363141226.93239
AGRI,119840248.17163548,293869267.87591994,485626485.58166951,267432406.9002589,1402494350.1118228,450084863.56077898,66476037.072106302,4004682648.1128669,2098462511.035764,2303402048.5742645,3540541529.0531116,1056088696.34664,2403096311.0845723,210166744.62503788,18702264148.106449
total,119840248.17163548,293869267.87591994,485626485.58166951,267432406.9002589,1402494350.1118228,450084863.56077898,66476037.072106302,4004682648.1128669,2098462511.035764,2303402048.5742645,3540541529.0531116,1056088696.34664,2403096311.0845723,210166744.62503788,583425209520.79968

1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,94522859.332402349,652531837.79955375,8452211621.5920839,4357412562.6603575,27226287460.234444,436884208.96058625,142085610.40409997,71486168508.832733,90859309494.699585,426178254.5763948,2929696171.3274779,12831962240.756651,3421900780.9985261,10395639736.96549,233712791349.14038
BORF,37281638212.973984,0.0,0.0,0.0,0.0,21725333.398651905,0.0,5287.2262495168579,137300.22356657893,119278006005.71826,5905334199.0287867,0.0,0.0,0.0,162486846338.56949
TEMF,2925234090.9432125,2489966357.3897429,1315341845.0600357,0.0,3083544953.7616839,559684673.81125879,27376884.470741551,0.0,587333336.72202325,1769223652.4283662,6363424488.3434429,3831665675.9166684,0.0,5977001366.4141808,28929797325.261353
DEFO,0.0,0.0,21176006239.269413,3221552407.772892,47894943574.116035,0.0,0.0,14215820900.42511,2069074199.9028258,0.0,738688262.7304374,13857164165.770351,17565236128.799782,374323576.4348653,121112809455.22173
PEAT,1330346804.1035585,0.0,0.0,0.0,0.0,1065229.1811137786,0.0,0.0,0.0,832405821.32607627,3108825.1976570496,0.0,2326894592.5012569,0.0,4493821272.3096619
AGRI,412650780.18168914,337154223.34296417,2184188489.8563046,319721368.29575104,1467299078.5144422,475630163.13847154,172954916.31113765,4243734634.1583834,2546448747.320118,3723160623.4055424,3159008103.4573135,1353447830.4346418,487242131.66285688,225745206.74010101,21108386296.819717
total,412650780.18168914,337154223.34296417,2184188489.8563046,319721368.29575104,1467299078.5144422,475630163.13847154,172954916.31113765,4243734634.1583834,2546448747.320118,3723160623.4055424,3159008103.4573135,1353447830.4346418,487242131.66285688,225745206.74010101,571844452037.32227

1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
