1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
All sources,0.022522118571508605,0.02069974265089152,0.05648283349918161,0.030780250021816776,0.1690381849856534,0.024386590620858628,0.0019307696229982532,0.4639220933050708,0.458432211189707,0.12277627678920651,0.05451370163591059,0.09556058645353806,0.0303240122494316,0.09776986416000964,1.6496037263600383

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.10191375e-07,5.3706156e-05,8.4907576e-05,0.000758362048,0.002161575936,0.000122440648,3.684978e-06,0.110329741312,0.0024631744,2.24394075e-06,0.000131372088,0.000707315072,8.0547392e-05,0.008103121408,0.1250024881299928
BORF,9.780428e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.780427543199479e-06
TEMF,3.0297804e-05,5.5547852e-05,0.0,0.0,0.000311375328,9.542091e-06,0.0,0.0,7.404422e-06,3.8303e-05,0.000449270944,0.000183892128,0.0,0.006720592384,0.007806226394104631
DEFO,0.0,0.0,8.162162e-06,3.8524048e-05,3.6861928e-05,0.0,0.0,0.004751258112,0.00107470336,0.0,4.4995395e-06,8.3026256e-05,0.0,0.00028700592,0.0062840416376287855
PEAT,3.89388515625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893885259072663e-08
AGRI,4.230162e-06,0.00025163424,0.000189577888,0.0001496284,0.000482781664,4.715774e-05,1.492103625e-06,0.007498873344,0.000411531424,9.085805e-06,0.00010670848,0.000353341504,3.2315842e-05,0.000133917328,0.00967390692743132
All sources,0.012670692339549513,0.011911005379600714,0.016100416551783087,0.033738817422745954,0.15528913813274106,0.015011646408878473,0.0018794504737372358,0.3900193319609737,0.6217736273700032,0.1105609988399403,0.07342156504228153,0.057852124380794734,0.023341259805143663,0.14371087875233163,1.668702501872859

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.781759375e-07,2.3180876e-05,9.9349968e-05,0.002007844736,0.00390868864,2.7189575e-06,1.0020357e-05,0.115986161664,0.000990248512,0.0,4.784394e-05,0.00073618592,0.000407834336,0.008580456448,0.1328038686074534
BORF,9.552637e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.552637693016266e-06
TEMF,2.165504e-05,1.9716262e-05,0.0,0.0,0.000307933696,6.59935e-08,1.80735e-07,0.0,1.8179116e-05,0.0,3.5779232e-05,7.5726e-05,0.0,0.003915920384,0.004395156454683697
DEFO,0.0,0.0,3.7854616e-05,0.000224301952,0.000794351104,0.0,0.0,0.004568775168,2.6143609375e-07,0.0,0.0,0.000112931696,0.000766336128,0.000492376576,0.006997188807326605
PEAT,3.865344921875e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86534484290894e-08
AGRI,3.2736284e-05,0.000146360224,0.00023369168,0.000208351936,0.000841355392,4.24775375e-07,3.89245375e-06,0.010894436352,0.000199710544,7.858870625e-07,0.0001244586,0.000287019264,9.7959096e-05,9.061584e-05,0.013170154423986027
All sources,0.0841688444592238,0.017388749448161597,0.02152298996442958,0.019077487696923193,0.2820535241531552,0.006101939783793283,0.001700006939008353,0.4101746095334582,0.5180749583899295,0.17499887508893444,0.08467094505007107,0.0683079441797966,0.17465297857100473,0.13028053429654007,1.9939471484565847

2003
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.57492734375e-08,4.3963608e-05,0.000130960152,0.000794866432,0.00288995456,2.08944e-06,1.74329725e-06,0.117427052544,0.001231691392,7.390815625e-07,0.000284993728,0.001976110336,0.00016224672,0.001295129472,0.12624230349196375
BORF,9.550418e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4265596875e-07,0.0,0.0,0.0,0.0,9.693073701317661e-06
TEMF,1.7825934e-05,3.7178544e-05,1.87915671875e-07,0.0,9.0341224e-05,2.5832305e-06,1.0455680625e-06,0.0,3.288705e-05,3.2267325e-06,0.000748672448,2.3864456e-05,0.0,0.000435256416,0.0013930695132179254
DEFO,0.0,0.0,3.9173104e-05,0.000644044864,4.536188e-05,0.0,0.0,0.003175498496,5.8063476e-05,0.0,0.00040436368,0.000211794176,6.3749188e-05,2.248567e-05,0.004664534092715718
PEAT,4.31542265625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.927448120117187e-10,0.0,0.0,0.0,0.0,4.384696864713933e-08
AGRI,2.29555328125e-07,0.00033426848,0.000342983712,9.6976776e-05,0.000417774496,5.706574e-06,3.91113775e-06,0.007957100032,0.000221634784,3.011949e-06,0.000296359072,0.000872638208,6.4580168e-05,7.2190864e-05,0.010690139229288584
All sources,0.05056306993887132,0.017268928481079585,0.06432582011646995,0.05415858976528087,0.23074137643902526,0.010889805967053877,0.002157359377976295,0.36590068490403665,0.5395525863820037,0.3028087169812504,0.061479054354511065,0.07926001821830557,0.04912201363990192,0.10527510680437419,1.9341769718100121

2004
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,6.9032448e-05,0.000177063504,0.002207652864,0.004336059904,5.447312e-06,5.146536e-06,0.093833879552,0.000848592384,3.33413e-06,0.000353084992,0.00575442688,0.000289642432,0.006082452992,0.11396707631288819
BORF,1.032664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3875245e-06,7.211881e-06,0.0,0.0,0.0,2.0926044959400266e-05
