1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
DEFO,0.0,0.0,3.7217408e-05,0.000106313592,0.001640578176,0.0,0.0,0.017704411136,0.0,0.0,0.000248176144,0.000541246336,0.0,0.0,0.020277943523294716
PEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRI,0.0,0.000413576864,0.00032048928,0.000290955968,0.002443336448,0.0,0.0,0.024513673216,0.00030567088,0.0,0.00054904352,0.000490642272,0.0,2.1822584e-05,0.029382401847539086
All sources,0.10934564610847396,0.0383407294850793,0.12266831130534077,0.055166216238364596,0.3555095091134665,0.06265161381907647,0.0043487870627500645,0.786025457170795,0.6975274056253459,0.5964320330695544,0.15770955668841966,0.1872751641547443,0.07941920310797214,0.14550189174992478,3.399244019767727

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.3594459375e-07,7.5478928e-05,0.000119329552,0.001065806016,0.00303789056,0.000172078736,5.178888e-06,0.155057963008,0.003461758464,3.153646e-06,0.00018463104,0.00099406432,0.000113201728,0.011388171264,0.17567916382494717
BORF,5.3205528e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3205527602175656e-05
TEMF,5.0900308e-05,9.3320392e-05,0.0,0.0,0.000523110528,1.6030714e-05,0.0,0.0,1.243943e-05,6.434904e-05,0.000754775168,0.000308938752,0.0,0.011290596352,0.013114459901054998
DEFO,0.0,0.0,2.0876302e-05,9.853268e-05,9.4281488e-05,0.0,0.0,0.012152257536,0.00274876032,0.0,1.1508439e-05,0.000212355632,0.0,0.000734072896,0.016072646138249467
PEAT,1.294716875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294716915329948e-06
AGRI,1.2239268e-05,0.00072806176,0.000548512064,0.0004329248,0.001396848384,0.000136443056,4.3171535e-06,0.02169673728,0.001190697472,2.6288264e-05,0.000308743264,0.001022334784,9.3500504e-05,0.000387467488,0.027989838385124068
All sources,0.054592464506915454,0.024932509496880677,0.03468387854571777,0.06466379054273426,0.2831931377217137,0.04075899594651577,0.004889895112725956,0.6439706773252796,0.989740731450427,0.5327910574503603,0.19481664563078385,0.10467558809146361,0.08456985180199844,0.21678849335534725,3.278499996222742

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,8.125715625e-07,3.2578528e-05,0.00013962696,0.002821835776,0.005493293568,3.8212375e-06,1.4082663e-05,0.163007561728,0.001391700736,0.0,6.7240128e-05,0.00103463968,0.000573172544,0.012059017216,0.18664326568643044
BORF,5.1966348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1966350509785696e-05
TEMF,3.6380464e-05,3.312332e-05,0.0,0.0,0.000517328704,1.10869078125e-07,3.0363478125e-07,0.0,3.0540916e-05,0.0,6.0109108e-05,0.000127219664,0.0,0.006578745856,0.007383862563270625
