1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.213539979264,0.598389686272,0.456834514944,10.407802568704,22.60059815936,1.303950524416,0.015908523008,412.274716049408,39.87447218176,1.026273837056,2.46263709696,4.682851811328,3.770546126848,23.069022224384,522.7749498894075
BORF,5.60002236416,0.0,0.0,0.0,0.0,0.0,0.0,6.0722988e-05,0.0,6.435516710912,0.80652402688,0.0,0.0,0.0,12.842123706690789
TEMF,12.523308843008,0.256823476224,0.001325987712,0.0,0.956342272,0.313550045184,0.014030721024,0.0,0.839724630016,3.256402051072,4.261291229184,0.17448640512,0.0,23.012050993152,45.60933628625766
DEFO,0.0,0.0,0.040939528192,2.23161483264,10.842002161664,0.0,0.0,4.610175008768,6.40351731712,0.0,2.639408136192,1.803795431424,5.693627695104,0.615217954816,34.880299267570855
PEAT,0.197324324864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035192066048,6.9738432e-05,0.0,0.0,0.0,0.23258612399472345
AGRI,0.900087087104,1.174466461696,0.573224779776,0.568206884864,2.353581785088,0.8906407936,0.015908793344,21.88836339712,2.435161260032,7.910623019008,1.113492946944,1.317915328512,0.582724681728,0.185549570048,41.93940280041975
All sources,85.3305415057921,36.85100923652913,74.02113749492206,123.21520028229882,1140.887895668536,25.83430558676984,3.025141078860083,1700.9784869210882,2140.5727930955786,305.63693477439756,283.92090070286315,284.7983202188983,3531.6696123796537,356.5077248210636,10095.25677545384

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.033014417408,0.378086096896,0.475983282176,6.535298678784,12.044560498688,0.21376008192,0.021114099712,609.78335055872,8.156643065856,0.020474355712,0.812846546944,8.417636777984,0.672394641408,10.271212961792,657.8399462616809
BORF,1.421549109248,0.0,0.0,0.0,0.0,0.0,0.0,3.3691764e-05,0.0,0.119622909952,0.005049426944,0.0,0.0,0.0,1.546255173524593
TEMF,1.743456043008,0.193998831616,0.001456527744,0.0,1.112774803456,0.060995342336,0.018206810112,0.0,0.043669020672,0.07372283904,1.527296425984,1.985658486784,0.0,3.677429956608,10.438664910358744
DEFO,0.0,0.0,0.034131800064,1.69704882176,1.730654765056,0.0,0.0,43.397238751232,0.680615477248,0.0,0.520581808128,2.329273434112,0.436659191808,0.261163155456,51.087370636603445
PEAT,0.053452275712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000902312896,1.4520655e-05,0.0,0.0,0.0,0.054369106916662885
AGRI,0.122367115264,0.767418433536,0.601473089536,0.386386886656,1.642721968128,0.146293620736,0.022762807296,23.486577770496,0.488249524224,0.160026918912,0.347032322048,2.607682420736,0.094131355648,0.185445482496,31.075379411463924
All sources,287.8316842063271,44.347670270803995,598.0520501144957,170.42271352440446,1469.4876535852445,29.112229712187663,8.846161458518594,2213.834027298559,2508.0277593212663,898.8974898622615,259.999338264628,603.1707309294326,383.04156612662655,328.7246162681842,9808.624435169508

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.078242922496,0.438249586688,0.403881754624,12.67874660352,11.082544447488,0.127418507264,0.014387826688,508.687974137856,8.890053820416,0.00927104,0.737797472256,6.576837492736,0.787138871296,42.42861457408,592.9468982011845
BORF,1.5835922432,0.0,0.0,0.0,0.0,0.0,0.0,3.0791486e-05,0.0,0.05436792832,0.004996230144,0.0,0.0,0.0,1.6429872302712667
TEMF,2.091278532608,0.206921203712,0.00118368832,0.0,0.910181203968,0.036480147456,0.013641367552,0.0,0.537037733888,0.031640776704,1.674207952896,0.521082077184,0.0,11.599999926272,17.623655495600435
DEFO,0.0,0.0,0.017934938112,0.981909438464,1.150677417984,0.0,0.0,24.634271465472,0.719532457984,0.0,0.474864648192,1.637000413184,0.467939557376,1.21156599808,31.29569499998181
PEAT,0.05275539456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363133152,4.6771716e-05,0.0,0.0,0.0,0.05316530069932141
AGRI,0.142513569792,0.790163685376,0.480364232704,0.523372855296,1.361741873152,0.087586840576,0.01587948544,22.885110382592,0.55597432832,0.073051201536,0.37053448192,1.75715254272,0.103765082112,0.432759898112,29.595103975506905
All sources,119.73805508849983,68.82816812286364,85.2162039046605,94.89823002750546,1348.275568779488,20.438929828632016,5.474281521392747,1806.7090977671414,2136.172637984969,322.64509936718986,171.79790075373498,474.85704263969916,277.4357593550183,655.9699206575981,7589.790632506302

2000
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.149988605952,0.22044647424,5.025369161728,19.342276165632,0.0,0.0,418.84789506048,2.957221036032,0.0,0.608964378624,2.470432210944,0.0,15.9452495872,465.57113558808055
BORF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMF,0.0,0.011393278976,0.0,0.0,1.35522484224,0.0,0.0,0.0,0.0,0.0,0.064762912768,0.0,0.0,0.164310728704,1.595691788523402
DEFO,0.0,0.0,0.045976088576,0.13133324288,2.026669211648,0.0,0.0,21.870938161152,0.0,0.0,0.306581504,0.668622323712,0.0,0.0,25.050120431314234
