1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
All sources,0.04331593156372137,0.03178720697399785,0.05341965707277788,0.03427428866395827,0.17076918896858181,0.01870965922004277,0.0016795595385669076,0.5361232697238136,0.5687544989743586,0.22797236272748397,0.061869653178599764,0.10835302836602816,0.027063389072266426,0.13343233843887672,2.017833542532224

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.0241040625e-07,6.9672856e-05,0.000110150352,0.000983820928,0.002804206336,0.00015884192,4.7805115e-06,0.143130443776,0.003195469568,2.911058e-06,0.000170428672,0.000917597888,0.000104493912,0.010512156672,0.16216538428921673
BORF,2.151694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151694080043839e-05
TEMF,6.6655168e-05,0.000122205288,0.0,0.0,0.000685025728,2.0992602e-05,0.0,0.0,1.628973e-05,8.42666e-05,0.000988396096,0.00040456272,0.0,0.014785304576,0.017173698322128866
DEFO,0.0,0.0,6.278587e-06,2.9633884e-05,2.8355334e-05,0.0,0.0,0.00365481472,0.000826694976,0.0,3.4611845e-06,6.3866352e-05,0.0,0.000220773824,0.004833878488181813
PEAT,3.893885625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8938854969962883e-07
AGRI,2.25608625e-06,0.000134204928,0.000101108216,7.9801808e-05,0.000257483536,2.5150794e-05,7.95788625e-07,0.003999398144,0.000219483424,4.8457625e-06,5.6911192e-05,0.000188448768,1.7235116e-05,7.1422584e-05,0.005159417117023476
All sources,0.02519131641160537,0.01599032805895854,0.015154855226701087,0.03551468331702858,0.17540731601760773,0.009951614234118122,0.0013084279889978834,0.4583060670157058,0.7508427613486076,0.20509613658027687,0.06402546483373966,0.0707309006860477,0.029578290403235747,0.19134870773686552,2.049555275098094

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,7.500660625e-07,3.0072488e-05,0.000128886448,0.002604771584,0.005070731776,3.52729625e-06,1.2999383e-05,0.15046852608,0.001284646784,0.0,6.2067808e-05,0.00095505216,0.000529082368,0.011131401216,0.17228609363258973
BORF,2.1015802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1015803556235994e-05
TEMF,4.7641096e-05,4.3375776e-05,0.0,0.0,0.000677454208,1.45185703125e-07,3.9761696875e-07,0.0,3.9994056e-05,0.0,7.8714312e-05,0.000166597216,0.0,0.00861502464,0.009669344340829202
